line,label,global,start,size
1386,gUnk_085dd518,gUnk_085dd518,0x5DD518,0x5DDC64 - 0x5DD518
1390,gUnk_085dd518,Img_BreathSprites,0x5DDC64,0xD00
1394,gUnk_085dd518,Pal_FireBreathSprites,0x5DE964,0x20
1398,gUnk_085dd518,Img_EfxHurtmutEff00OBJ1,0x5DE984,0x8A0
1402,gUnk_085dd518,Img_EfxHurtmutEff00OBJ2,0x5DF224,0x7E4
1406,gUnk_085dd518,Pal_EfxHurtmutEff00OBJ,0x5DFA08,0x20
1410,gUnk_085dd518,Pal_IceBreathSprites,0x5DFA28,0x20
1414,gUnk_085dd518,Pal_DarkBreathSprites,0x5DFA48,0x20
1418,gUnk_085dd518,Pal_WretchedAirSprites,0x5DFA68,0x20
4438,gUnk_085dd518,Img_DarkBreathBg,0x5E5AE4,0x9F4
4442,gUnk_085dd518,Tsa_085E64D8,0x5E64D8,0xE8
4446,gUnk_085dd518,Tsa_085E65C0,0x5E65C0,0xBC
4450,gUnk_085dd518,Tsa_085E667C,0x5E667C,0xFC
4454,gUnk_085dd518,Tsa_085E6778,0x5E6778,0xE8
4458,gUnk_085dd518,Tsa_085E6860,0x5E6860,0xE8
4462,gUnk_085dd518,Tsa_085E6948,0x5E6948,0xFC
4466,gUnk_085dd518,Tsa_085E6A44,0x5E6A44,0x12C
4470,gUnk_085dd518,Tsa_085E6B70,0x5E6B70,0x134
4474,gUnk_085dd518,Tsa_085E6CA4,0x5E6CA4,0xC4
4478,gUnk_085dd518,Tsa_085E6D68,0x5E6D68,0x12C
4482,gUnk_085dd518,Tsa_085E6E94,0x5E6E94,0xFC
4486,gUnk_085dd518,Tsa_085E6F90,0x5E6F90,0x98
4490,gUnk_085dd518,Img_EfxCriricalEffectBG,0x5E7028,0x10E0
4494,gUnk_085dd518,Pal_EfxCriricalEffectBG,0x5E8108,0x200
4498,gUnk_085dd518,Tsa_EfxCriricalEffectBG_L,0x5E8308,0x4A0
4502,gUnk_085dd518,Tsa_EfxCriricalEffectBG_R,0x5E87A8,0x45C
4506,gUnk_085dd518,Img_EfxSRankWeaponEffectBG,0x5E8C04,0xC0
4510,gUnk_085dd518,Pal_EfxSRankWeaponEffectBG,0x5E8CC4,0x20
4514,gUnk_085dd518,Tsa_EfxSRankWeaponEffectBG,0x5E8CE4,0xA4
4518,gUnk_085dd518,Img_EfxNormalEffectBG,0x5E8D88,0x3C8
4522,gUnk_085dd518,Pal_EfxNormalEffectBG,0x5E9150,0x20
4526,Tsa1_EfxNormalEffectBG,Tsa1_EfxNormalEffectBG,0x5E9170,0x5E923C - 0x5E9170
4530,Tsa2_EfxNormalEffectBG,Tsa2_EfxNormalEffectBG,0x5E923C,0x5E933C - 0x5E923C
4534,Tsa3_EfxNormalEffectBG,Tsa3_EfxNormalEffectBG,0x5E933C,0x5E944C - 0x5E933C
4538,Tsa4_EfxNormalEffectBG,Tsa4_EfxNormalEffectBG,0x5E944C,0x5E9558 - 0x5E944C
4542,Tsa5_EfxNormalEffectBG,Tsa5_EfxNormalEffectBG,0x5E9558,0x5E965C - 0x5E9558
4546,Tsa6_EfxNormalEffectBG,Tsa6_EfxNormalEffectBG,0x5E965C,0x5E9748 - 0x5E965C
4550,Tsa7_EfxNormalEffectBG,Tsa7_EfxNormalEffectBG,0x5E9748,0x5E981C - 0x5E9748
4554,Tsa8_EfxNormalEffectBG,Tsa8_EfxNormalEffectBG,0x5E981C,0x5E98D8 - 0x5E981C
4558,Tsa9_EfxNormalEffectBG,Tsa9_EfxNormalEffectBG,0x5E98D8,0x5E9980 - 0x5E98D8
4562,TsaA_EfxNormalEffectBG,TsaA_EfxNormalEffectBG,0x5E9980,0x5E9A18 - 0x5E9980
7455,TsaA_EfxNormalEffectBG,Img_EfxMagfcastBG,0x5EE4F8,0xD54
